Listing Id,Minimum Nights,Maximum Nights,Calendar Updated,Availability 30,Availability 60,Availability 90,Availability 365
66548,1,30,3 months ago,29,59,89,364
66549,1,1125,2 weeks ago,24,53,80,354
66550,1,1125,3 months ago,0,0,0,0
66551,3,1125,16 months ago,0,0,0,0
66552,30,1125,4 weeks ago,30,60,90,122
66553,2,1125,3 days ago,6,6,6,6
66554,5,1125,3 months ago,0,0,0,0
66555,1,1125,3 weeks ago,0,0,0,0
66556,1,5,2 months ago,25,55,85,85
66557,5,1125,2 months ago,0,0,0,0
66558,4,11,9 months ago,0,0,0,0
66559,1,1125,13 months ago,0,0,0,0
66560,3,1125,a week ago,4,4,21,21
66561,3,365,2 weeks ago,30,60,90,365
66562,2,5,yesterday,3,5,9,13
66563,5,30,a week ago,0,0,0,0
66564,1,1125,14 months ago,0,0,0,0
66565,3,90,4 weeks ago,17,47,77,77
66566,27,29,12 months ago,0,0,0,0
66567,2,30,yesterday,24,51,81,81
66568,30,31,4 months ago,0,0,30,305
66569,3,21,3 weeks ago,7,19,40,307
66570,7,30,11 months ago,0,0,0,0
66571,1,1125,2 months ago,0,0,0,154
66572,2,30,today,2,27,44,74
66573,3,1125,13 months ago,0,0,0,0
66574,3,1125,yesterday,13,13,13,13
66575,6,130,11 months ago,29,59,89,364
66576,3,1125,yesterday,6,20,34,115
66577,2,5,4 weeks ago,27,57,87,87
66578,3,1125,today,9,9,9,61
66579,1,90,a week ago,30,60,90,365
66580,1,1125,2 months ago,0,1,1,217
66581,50,180,6 weeks ago,0,0,0,0
66582,2,8,4 months ago,27,57,87,87
66583,2,31,5 days ago,3,17,28,280
66584,3,1125,2 weeks ago,5,11,11,271
66585,1,1125,a week ago,3,17,24,283
66586,3,30,3 days ago,0,0,3,3
66587,3,20,6 weeks ago,0,0,0,0
66588,1,1125,16 months ago,0,0,0,0
66589,3,30,4 months ago,0,0,0,0
66590,1,29,2 days ago,9,27,57,146
66591,7,360,4 days ago,9,39,69,331
66592,5,1125,2 weeks ago,8,10,40,40
66593,1,1125,today,20,21,24,296
66594,2,1125,today,17,21,26,26
66595,3,1125,11 months ago,0,0,0,0
66596,1,1125,today,3,18,46,298
66597,2,1125,yesterday,10,19,21,21
66598,30,1125,a week ago,1,1,1,273
