Tweet_Id,Text,cre_tms,location,retweet_cnt,fav_cnt,user_name,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,urls
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,reuterskenya,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,PARTYAT7,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,Prawmeez,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,Pettybishh_,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,neutraIists,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,Nok2la__,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,maasai_pips,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,LoveMsgs7,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,VanderPallen_,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,king_hord,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,itsokaypapi,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,iAmGrandadCj,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,gee1love,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,eugene_smech,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,Dah_winskill,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,DopeMindset100,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,dismissx,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,bootyhism,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,clingtomee,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,BeautiesMelanin,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
